Edith Atwater,2,"The Love Machine, Stand Up and Be Counted"
Ric Mancini,2,"Nickelodeon, Shamus"
Sally Kellerman,2,"Lost Horizon, A Reflection of Fear"
Mark Thomas,2,"The Love Machine, St. Ives"
Chuck Hayward,2,"The Swarm, Blazing Saddles"
Otis Day,2,"Thank God It's Friday, The New Centurions"
Carol O'Leary,2,"Bob & Carol & Ted & Alice, Blume in Love"
Suzanne Covington,2,"The Comic, Harry and Walter Go to New York"
John Forsythe,2,"In Cold Blood, Marooned"
Stacy Keach,2,"The New Centurions, Fat City"
Walter Kightly,2,"Bob & Carol & Ted & Alice, The Comic"
John Creamer,2,"Americathon, Hard Times"
Larry J. Blake,2,"Hook, Line and Sinker, Time After Time"
Tom Pittman,2,"Bernardine, Blazing Saddles"
Howard Morris,2,"The Comic, History of the World: Part I"
Davis Roberts,2,"Hook, Line and Sinker, From Noon Till Three"
Paul Marin,2,"Doctors' Wives, The Love Machine"
Ben Johnson,2,"The Swarm, Bite the Bullet"
Jessie Salve,2,"Lost Horizon, Mame"
Jill Ireland,2,"From Noon Till Three, Hard Times"
Gene Wilder,2,"The Frisco Kid, Blazing Saddles"
Jim Brewer,2,"Doctors' Wives, Stand Up and Be Counted"
Doris Belack,1,Tootsie
Ron Cummins,1,Capricorn One
George Greif,1,Harry and Walter Go to New York
Lauren Hutton,1,Viva Knievel!
Neal Israel,1,Americathon
Michael Moriarty,1,Report to the Commissioner
Stephen Mitchell,1,The Wrecking Crew
Sydney Lassick,1,History of the World: Part I
Alan U. Schwartz,1,History of the World: Part I
William Ross,1,The Yakuza
Lee Brubaker,1,The Love Machine
Choo Choo Collins,1,Stand Up and Be Counted
Glenn Enoch,1,The Thief Who Came to Dinner
Army Archerd,1,The Thief Who Came to Dinner
Paula Warner,1,Bob & Carol & Ted & Alice
James Ray Wyatt,1,The Gumball Rally
Hardy Kruger,1,Wrong Is Right
M.C. Gainey,1,Time After Time
Mary Adams,1,Doctors' Wives
Helen Stenborg,1,Three Days of the Condor
Jamie Masada,1,Americathon
Michael St. Clair,1,A Reflection of Fear
Sheryl Cooper,1,Sgt. Pepper's Lonely Hearts Club Band
Bobby Gilbert,1,The Comic
Bob Steele,1,The Shootist
Mike Cheswick,1,Up the Academy
Robert Castleberry,1,Hard Times
James Hampton,1,The China Syndrome
Kathryn Witt,1,Freebie and the Bean
Alejandro Rey,1,The Swarm
Frank Pesce,1,Tilt
Darryl Seamen,1,Funny Girl
Frank Speiser,1,The Electric Horseman
Norman Sturgis,1,Bernardine
Andrea Marcovicci,1,Spacehunter: Adventures in the Forbidden Zone
Wendell Brown,1,Up the Academy
Milton Frome,1,"Next Stop, Greenwich Village"
Terry Bolo,1,The In-Laws
Diane Zolten,1,Absence of Malice
Leigh Christian,1,The Love Machine
Luanne Roberts,1,Stand Up and Be Counted
Antonino Faa di Bruno,1,Bobby Deerfield
Warren Stagg,1,Blume in Love
Charles Woolf,1,Funny Girl
Brenda Sykes,1,Getting Straight
Patrick McKenna,1,Up the Academy
Joe Yrigoyen,1,Blazing Saddles
Kevin Edwards,1,Funny Girl
Cynthia Windham,1,Americathon
George Smith,1,Marooned
George Lane Cooper,1,History of the World: Part I
Sacheen Littlefeather,1,Freebie and the Bean
Donald E. Bolen,1,The Thief Who Came to Dinner
Harry Davis,1,Brother John
Bobby Baum,1,Americathon
David Allen,1,Three Days of the Condor
Tracy Justrich,1,Sgt. Pepper's Lonely Hearts Club Band
Bruce Brann,1,Americathon
Thomas Hill,1,Firefox
Frank Savino,1,Three Days of the Condor
Elizabeth Carder,1,Americathon
Peter White,1,The Pursuit of Happiness
Eliseo Estrada,1,Boulevard Nights
John Colton,1,Time After Time
Joseph D. Pina,1,Boulevard Nights
Kenneth Colley,1,Firefox
Edson C. Kurose,1,Sweet Sweetback's Baadasssss Song
William Traylor,1,Cisco Pike
Anne Bancroft,1,Blazing Saddles
Leslie Bonano,1,Hard Times
Don Rickles,1,The Love Machine
Sandra Will,1,Thank God It's Friday
Timothy Near,1,Cisco Pike
Gayle Davis,1,Funny Girl
Wilson Pickett,1,Sgt. Pepper's Lonely Hearts Club Band
Lance Fuller,1,The Love Machine
Albert Popwell,1,Blume in Love
Frankie Valli,1,Sgt. Pepper's Lonely Hearts Club Band
Sonya Mahler,1,Funny Girl
David Wallace,1,Mortuary
Richard Guizon,1,Pendulum
Frederic Downs,1,1776
Ed Van Nuys,1,Willie & Phil
Simon Chuckster,1,Sweet Sweetback's Baadasssss Song
Frank Sully,1,Funny Girl
John Nolan,1,"Hook, Line and Sinker"
Eileen Brennan,1,Scarecrow
Greta Stephanie Gratz,1,Americathon
John Alderman,1,The Stunt Man
Jerry Kurland,1,The Electric Horseman
Isabelle de Blonay,1,Bobby Deerfield
Gary Wood,1,Americathon
Quinn K. Redeker,1,The Electric Horseman
Philip Luther,1,Doctors' Wives
Michael Sheehan,1,The Swarm
Paul Randall,1,Funny Girl
Stan Haze,1,From Noon Till Three
James Cranna,1,Time After Time
Madeleine Collinson,1,The Love Machine
Mark Weston,1,Shamus
Diane Mayer,1,Funny Girl
Cara Duff-MacCormick,1,All the President's Men
Bert Madrid,1,Blazing Saddles
Karen Powell,1,Harry and Walter Go to New York
Ben Kahlon,1,The Frisco Kid
Ruth Storey,1,In Cold Blood
Jack Elliott,1,Renaldo and Clara
Alvaro Lopez,1,Fat City
